,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
0,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,90408.0
1,1,0,1,1,0,11.0,1,0,0,0,0,1,0,0,9.0,78052.0
2,1,0,1,1,0,6.0,0,0,1,0,0,0,0,0,0.0,87787.0
3,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,72927.0
4,1,0,1,1,0,68.0,1,0,1,0,0,0,0,0,0.0,101810.0
5,1,0,1,1,0,17.6,0,0,1,0,0,0,0,0,0.0,171585.0
6,1,0,1,1,0,32.0,0,0,0,0,0,1,0,0,0.0,123788.0
7,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,0.0,93282.0
8,0,1,1,1,0,70.0,1,1,0,0,1,0,0,0,2.5,69033.0
9,0,0,1,1,0,70.0,1,1,0,0,1,0,0,0,0.0,85155.0
10,0,0,1,1,0,29.0,1,1,1,0,0,0,0,0,0.0,78326.0
11,0,0,0,1,0,5.0,1,1,1,0,0,0,1,0,0.0,137739.0
12,1,0,1,1,0,70.0,1,0,1,0,1,0,0,0,9.0,53099.0
13,1,0,1,1,0,70.0,1,0,1,0,0,0,0,0,0.0,55024.0
14,0,0,1,1,0,11.0,0,1,1,0,1,0,0,0,2.5,89822.0
15,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,2.5,72682.0
16,1,1,1,1,0,17.0,0,0,0,0,0,0,0,0,0.0,171585.0
17,0,0,1,1,1,74.0,1,1,1,0,0,0,0,0,1.0,70229.0
18,0,1,1,1,0,22.0,1,1,0,0,0,0,0,0,0.0,123609.0
19,0,0,1,1,0,17.0,1,1,1,0,0,0,0,0,0.0,70757.0
20,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,61924.0
21,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,69958.0
22,0,0,1,1,0,13.0,0,1,1,0,0,0,0,0,1.5,132754.0
23,0,0,1,1,0,13.0,0,1,0,0,0,1,0,0,8.5,70229.0
24,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,7.5,66858.0
25,0,0,1,1,1,29.0,1,1,1,0,0,0,0,0,0.0,65419.0
26,0,0,1,1,1,52.0,1,1,1,0,0,0,0,0,3.0,67971.0
27,0,0,1,1,0,72.3,1,1,1,0,0,0,0,0,0.0,84238.0
28,1,0,1,1,1,76.0,0,0,1,0,0,0,0,0,0.0,97596.0
29,1,0,1,1,0,12.0,1,0,1,0,0,0,0,0,0.0,82617.0
30,0,0,1,1,0,13.0,1,1,0,0,0,1,0,0,0.0,132754.0
31,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,1.0,73718.0
32,0,0,1,1,0,32.0,0,1,0,0,0,1,0,0,10.0,117974.0
33,1,0,1,1,0,70.0,1,0,1,0,0,0,0,0,2.5,69888.0
34,0,0,1,1,0,32.4,1,1,0,0,0,1,0,0,0.0,89093.0
35,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,0.0,111059.0
36,1,0,1,1,0,14.0,0,0,0,0,0,1,0,0,0.0,96162.0
37,0,0,1,1,0,11.0,0,1,0,0,0,1,0,0,3.0,100879.0
38,1,0,1,1,1,60.0,0,0,0,0,0,1,0,0,5.0,85693.0
39,1,0,1,1,0,9.0,0,0,0,0,0,1,0,0,0.0,67971.0
40,1,0,1,1,1,82.0,1,0,1,0,0,0,0,0,0.0,79336.0
41,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,76038.0
42,1,0,1,1,0,49.0,1,0,1,0,0,0,0,0,0.0,71000.0
43,1,0,1,1,0,15.0,1,0,1,0,0,0,0,0,5.0,59176.0
44,1,0,0,1,0,11.0,1,0,1,0,0,0,1,0,0.0,43975.0
45,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,1.5,89741.0
46,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,132754.0
47,1,0,1,1,1,74.0,0,0,0,0,0,1,0,0,0.0,111059.0
48,1,0,1,1,0,15.0,0,0,0,0,0,1,0,0,0.0,78612.0
49,1,0,1,1,0,7.2,1,0,1,0,0,0,0,0,0.0,117974.0
50,1,0,1,1,1,44.0,0,0,1,0,0,0,0,0,1.0,117974.0
51,0,0,0,0,0,14.0,0,1,1,0,0,0,1,1,0.0,78623.0
52,1,0,1,1,1,29.0,1,0,1,0,0,0,0,0,0.0,77541.0
53,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,0.0,100879.0
54,0,0,1,0,0,62.0,1,1,0,1,0,0,0,1,8.0,58105.0
55,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,100879.0
56,0,0,1,1,1,71.0,1,1,0,0,0,1,0,0,7.0,90298.0
57,0,0,1,1,0,6.0,0,1,1,0,0,0,0,0,0.0,68635.0
58,0,0,1,1,0,7.0,1,1,1,0,0,0,0,0,0.0,50118.0
59,0,0,0,0,0,7.0,1,1,1,0,0,0,1,1,10.0,68426.0
60,1,0,1,1,0,14.0,0,0,0,0,0,1,0,0,3.0,72391.0
61,1,0,1,1,1,49.0,0,0,1,0,0,0,0,0,0.0,117974.0
62,0,1,1,1,0,70.0,1,1,0,0,1,0,0,0,9.0,48597.0
63,1,0,1,1,0,17.0,0,0,1,0,0,0,0,0,0.0,70574.0
64,0,0,1,1,1,60.0,1,1,1,0,0,0,0,0,0.0,92566.0
65,1,0,1,1,1,74.0,0,0,1,0,0,0,0,0,9.0,67867.0
66,0,1,1,0,1,100.0,0,1,0,0,0,0,0,1,0.0,49559.0
67,1,0,0,0,0,29.0,1,0,1,0,0,0,1,1,0.0,37864.0
68,0,0,1,0,1,79.0,1,1,1,0,0,0,0,1,0.0,40808.0
69,0,0,1,1,1,75.0,1,1,0,1,0,0,0,0,0.0,77201.0
70,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,8.5,69033.0
71,1,0,1,1,1,89.0,0,0,1,0,0,0,0,0,0.0,111059.0
72,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,96455.0
73,0,0,1,1,0,32.0,0,1,0,0,0,1,0,0,0.0,117974.0
74,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,5.5,68760.0
75,0,0,1,1,1,60.0,1,1,1,0,0,0,0,0,0.0,
76,0,0,1,1,1,60.0,1,1,0,0,1,0,0,0,0.0,66193.0
77,1,0,1,1,1,90.0,1,0,1,0,0,0,0,0,0.0,101810.0
78,0,0,1,1,1,60.0,1,1,1,0,0,0,0,0,2.0,88903.0
79,0,0,1,1,0,29.0,0,1,1,0,0,0,0,0,6.0,89399.0
80,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,102484.0
81,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,0.0,80789.0
82,0,0,1,1,0,70.0,1,1,0,0,1,0,0,0,0.0,123788.0
83,0,0,1,1,0,4.8,1,1,1,0,0,0,0,0,3.5,81994.0
84,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,2.0,80228.0
85,0,0,1,1,0,46.8,1,1,1,0,0,0,0,0,7.0,68760.0
86,1,0,1,1,1,66.0,1,0,1,0,0,0,0,0,3.0,83801.0
87,0,0,1,1,0,7.2,1,1,1,0,0,0,0,0,4.5,102161.0
88,0,0,1,1,0,7.2,1,1,1,0,0,0,0,0,2.0,70229.0
